step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,rollout/n_total,rollout/n_appended,rollout/n_eos,rollout/n_budget,rollout/n_loop,rollout/n_invalid,rollout/n_empty,rollout/valid_rate,rollout/generated_tokens,rollout/valid_tokens,rollout/wall_time,rollout/rollout_tokens,rollout/expected_rollout_tokens,rollout/budgets_used,rollout/teacher_forward_tokens,rollout/loop_periods,rollout/temperature,rollout/repetition_penalty,rollout/loop_min_len,rollout/source,rollout/budget_utilization,rollout/truncation_rate,rollout/loop_rate,rollout/eos_rate,rollout/accuracy_proxy,rollout/raw_tok_per_sec,rollout/valid_tok_per_sec,rollout/useful_per_token,hit_rate,refresh_age_p95,reuse_p95,max_length_ratio,cache_health/status,cache_health/reason,lookup/total,lookup/hit,lookup/miss,lookup/invalid,lookup/duplicate,lookup/hit_rate,refresh_train/skipped,refresh_train/skip_reason,refresh_pool/size,pool
0,1,1,4,0.3058638572692871,0.3058638572692871,-1.2699074430910784e-11,-0.4375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,1.9669115543365479,0.43862825632095337,3.0565667152404785,-0.60546875,-0.26171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,3,4,1.2859196662902832,0.37471264600753784,1.8224141597747803,-0.4765625,-0.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,4,4,1.2194578647613525,0.4329593777656555,1.5729970932006836,-0.51171875,-0.35546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,4,1.2711827754974365,0.43280863761901855,1.6767481565475464,-0.427734375,-0.2890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,6,4,1.3717975616455078,0.5519177317619324,1.6397595405578613,-0.7734375,-0.75390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,6,4,0.8963488340377808,0.4273670017719269,0.9379637241363525,-0.33984375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,7,4,0.9526016712188721,0.4707631766796112,0.963676929473877,-0.375,-0.57421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,7,4,0.9359229803085327,0.4419943690299988,0.9878572225570679,-0.447265625,-0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,7,4,0.6866596341133118,0.30409806966781616,0.7651231288909912,-0.375,-0.376953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,8,4,1.0287065505981445,0.5160499811172485,1.025313138961792,-0.5859375,-0.73828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,8,4,0.9450942277908325,0.4522649347782135,0.9856585264205933,-0.4296875,-0.51171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,9,4,1.0079259872436523,0.4580886662006378,1.0996747016906738,-0.421875,-0.474609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,9,4,0.9029062986373901,0.4790072441101074,0.8477981686592102,-0.59765625,-0.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,9,4,0.849705159664154,0.43805885314941406,0.82329261302948,-0.5703125,-0.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,9,4,0.8278364539146423,0.4011489748954773,0.8533749580383301,-0.5703125,-0.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,9,4,0.733191728591919,0.3359655737876892,0.7944522500038147,-0.4453125,-0.478515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,9,4,0.7927466034889221,0.43264156579971313,0.720210075378418,-0.59765625,-0.63671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,9,4,0.7640465497970581,0.405673623085022,0.7167458534240723,-0.53125,-0.515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,9,4,1.2257723808288574,0.3613285422325134,1.728887677192688,-0.482421875,-0.412109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,8,0,8,0,0,0,1.0,4096,4096,2.5195400193333626,4096,4096,4096,8192,"(2, 3, 4)",0.7,1.0,8,student,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1625.6935665120923,1625.6935665120923,0.001953125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.0,,,,4096,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1625.6935665120923,1625.6935665120923,0.001953125,1.0,0,0,0,HEALTHY,,0,0,0,0,0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,8,
20,22,0,4,0.5640368461608887,0.21717870235443115,0.6937162280082703,-0.3403013348579407,-0.34141528606414795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
21,24,0,4,0.48743605613708496,0.1764441877603531,0.6219837069511414,-0.26154887676239014,-0.26798391342163086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refresh
