step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,eval_reward
0,1,1,4,0.4672480821609497,0.4672480821609497,4.3545037020642496e-10,-0.7734375,-0.7734375,
1,2,2,4,0.5240549445152283,0.46490901708602905,2.9572970867156982,-0.5390625,-0.349609375,
2,3,3,4,0.471264511346817,0.39997953176498413,3.5642495155334473,-0.51953125,-0.220703125,
3,4,4,4,0.4516129791736603,0.4074225425720215,2.2095212936401367,-0.5234375,-0.24609375,
4,5,5,4,0.46596887707710266,0.4088515043258667,2.8558688163757324,-0.51953125,-0.1328125,
5,6,6,4,0.47558897733688354,0.39198553562164307,4.180172920227051,-0.515625,-0.0947265625,
6,7,6,4,0.43295159935951233,0.37406930327415466,2.9441146850585938,-0.455078125,-0.189453125,
7,8,7,4,0.4560605585575104,0.37560078501701355,4.022988319396973,-0.6171875,-0.1318359375,
8,9,8,4,0.4127480387687683,0.3487609922885895,3.199352979660034,-0.48046875,-0.1826171875,
9,10,8,4,0.2506486773490906,0.19271230697631836,2.8968191146850586,-0.205078125,-0.057373046875,
10,11,8,4,0.2486782670021057,0.18926122784614563,2.9708521366119385,-0.20703125,-0.08251953125,
11,12,8,4,0.20007577538490295,0.13778424263000488,3.1145763397216797,-0.1494140625,-0.036376953125,
12,13,8,4,0.2438611090183258,0.1783849149942398,3.2738099098205566,-0.1806640625,-0.10888671875,
13,14,8,4,0.23209314048290253,0.18501707911491394,2.3538031578063965,-0.2138671875,-0.10791015625,
14,15,9,4,0.17621050775051117,0.1366349458694458,1.9787780046463013,-0.162109375,-0.048095703125,
15,16,9,4,0.16183865070343018,0.10671557486057281,2.7561535835266113,-0.11962890625,-0.0126953125,
16,17,9,4,0.1570291370153427,0.09630461037158966,3.036226272583008,-0.10205078125,0.01397705078125,
17,18,9,4,0.20435956120491028,0.14029866456985474,3.203044891357422,-0.177734375,-0.042724609375,
18,19,9,4,0.13973495364189148,0.06909550726413727,3.5319724082946777,-0.07666015625,0.050537109375,
19,20,10,4,0.13605505228042603,0.08110052347183228,2.7477264404296875,-0.0693359375,0.0103759765625,-0.002770854320260696
20,21,10,4,0.15266281366348267,0.08765807002782822,3.250236749649048,-0.0693359375,-0.00872802734375,
21,22,10,4,0.1998906433582306,0.12634578347206116,3.6772427558898926,-0.1484375,-0.00927734375,
22,23,10,4,0.1632043421268463,0.0845387876033783,3.9332780838012695,-0.07177734375,0.05615234375,
23,24,10,4,0.12148832529783249,0.04496435821056366,3.8261983394622803,-0.048095703125,0.068359375,
24,25,10,4,0.17832958698272705,0.0996055081486702,3.936204433441162,-0.10107421875,-0.01153564453125,
25,26,10,4,0.12315062433481216,0.05454079061746597,3.4304919242858887,-0.02880859375,0.044677734375,
26,27,10,4,0.14670488238334656,0.06407475471496582,4.131505966186523,-0.00482177734375,0.0247802734375,
27,28,9,4,0.14559027552604675,0.07756967097520828,3.4010303020477295,-6.437301635742188e-05,0.0223388671875,
28,29,9,4,0.11164774745702744,0.022013835608959198,4.481695652008057,0.051025390625,0.0693359375,
29,30,10,4,0.10487920790910721,0.040300846099853516,3.2289183139801025,-0.02880859375,0.04541015625,
30,31,10,4,0.08970598876476288,0.021549968048930168,3.4078011512756348,0.0234375,0.046630859375,
31,32,10,4,0.09023117274045944,0.008493040688335896,4.086906433105469,0.038330078125,0.08642578125,
32,33,10,4,0.09344989061355591,0.022569216787815094,3.5440337657928467,0.0223388671875,0.047119140625,
33,34,10,4,0.03485868126153946,-0.04485508054494858,3.9856882095336914,0.0947265625,0.1455078125,
34,35,10,4,0.018831990659236908,-0.0609806627035141,3.9906327724456787,0.099609375,0.1923828125,
35,36,10,4,0.044432930648326874,-0.03579714149236679,4.01150369644165,0.08056640625,0.181640625,
36,37,10,4,0.028881754726171494,-0.05234159901738167,4.0611677169799805,0.0712890625,0.21875,
37,38,10,4,0.019667204469442368,-0.03853901848196983,2.910311222076416,0.07666015625,0.20703125,
38,39,10,4,0.06027926504611969,-0.03401971608400345,4.714949131011963,0.076171875,0.169921875,
39,40,10,4,0.030756521970033646,-0.05892171338200569,4.483911991119385,0.1162109375,0.2119140625,0.12452393991407007
40,41,10,4,0.050495266914367676,-0.039978064596652985,4.523666858673096,0.09130859375,0.1513671875,
41,42,10,4,-0.013342857360839844,-0.09306292235851288,3.9860033988952637,0.1591796875,0.24609375,
42,43,10,4,0.07732212543487549,-0.022209161892533302,4.976564407348633,0.07958984375,0.11962890625,
43,44,10,4,0.048116110265254974,-0.07199056446552277,6.00533390045166,0.1826171875,0.1767578125,
44,45,10,4,0.09238962829113007,0.001696718973107636,4.5346455574035645,0.07080078125,0.07861328125,
45,46,10,4,0.04098396375775337,-0.04385722056031227,4.242059230804443,0.177734375,0.1376953125,
46,47,10,4,0.043489761650562286,-0.04166105389595032,4.257540702819824,0.162109375,0.1328125,
47,48,10,4,0.008288472890853882,-0.07545463740825653,4.187155723571777,0.2021484375,0.2041015625,
48,49,9,4,0.09267446398735046,-0.059109676629304886,7.589206695556641,0.146484375,0.173828125,
49,50,9,4,0.09840983897447586,0.032546453177928925,3.2931694984436035,0.0791015625,0.1259765625,
50,51,10,4,0.05659347027540207,-0.04073355346918106,4.866351127624512,0.18359375,0.263671875,
51,52,10,4,0.013844646513462067,-0.06804889440536499,4.094676971435547,0.193359375,0.298828125,
52,53,10,4,0.09656646847724915,0.0014626877382397652,4.755188941955566,0.1171875,0.265625,
53,54,10,4,0.058678098022937775,-0.0405372679233551,4.960768222808838,0.130859375,0.25390625,
54,55,10,4,0.0883195549249649,-0.019513696432113647,5.39166259765625,0.09912109375,0.23046875,
55,56,10,4,0.04481452330946922,-0.05524758622050285,5.003105640411377,0.1083984375,0.2119140625,
56,57,10,4,-0.06521978229284286,-0.16048699617385864,4.763360977172852,0.23046875,0.36328125,
57,58,10,4,-0.08873191475868225,-0.178583562374115,4.492582321166992,0.259765625,0.314453125,
58,59,10,4,0.039975959807634354,-0.05189329758286476,4.593462944030762,0.1572265625,0.1826171875,
59,60,10,4,0.01373659074306488,-0.0971314013004303,5.543399810791016,0.263671875,0.306640625,0.22525422577746212
60,61,10,4,0.03628459572792053,-0.06224678456783295,4.926568984985352,0.2021484375,0.21484375,
61,62,10,4,-0.07088897377252579,-0.17027400434017181,4.96925163269043,0.30859375,0.359375,
62,63,10,4,-0.0072442516684532166,-0.10193011164665222,4.734292984008789,0.240234375,0.2451171875,
63,64,10,4,-0.04048146307468414,-0.14462910592556,5.2073822021484375,0.271484375,0.30078125,
64,65,10,4,-0.11059236526489258,-0.19714128971099854,4.327446460723877,0.37109375,0.4140625,
65,66,10,4,-0.08417391777038574,-0.19130396842956543,5.356502532958984,0.32421875,0.400390625,
66,67,10,4,-0.025640420615673065,-0.10661047697067261,4.0485029220581055,0.1943359375,0.2392578125,
67,68,10,4,-0.054136231541633606,-0.13920468091964722,4.253422737121582,0.228515625,0.28125,
68,69,9,4,0.05646871030330658,-0.04610738903284073,5.128805160522461,0.2119140625,0.328125,
69,70,10,4,-0.06602375954389572,-0.15543413162231445,4.470518589019775,0.294921875,0.326171875,
70,71,10,4,-0.012161388993263245,-0.1325780153274536,6.02083158493042,0.27734375,0.36328125,
71,72,10,4,0.018682323396205902,-0.08814699947834015,5.341466426849365,0.2138671875,0.2490234375,
72,73,10,4,-0.07969832420349121,-0.1824709177017212,5.138629913330078,0.328125,0.384765625,
73,74,10,4,-0.07035531848669052,-0.18369218707084656,5.666843414306641,0.337890625,0.361328125,
74,75,10,4,-0.04661669582128525,-0.15351887047290802,5.345108985900879,0.28125,0.310546875,
75,76,10,4,-0.05729687213897705,-0.18684643507003784,6.47747802734375,0.31640625,0.35546875,
76,77,10,4,-0.04525817185640335,-0.16268214583396912,5.871198654174805,0.29296875,0.361328125,
77,78,10,4,-0.03596235066652298,-0.1525026112794876,5.82701301574707,0.28125,0.34765625,
78,79,10,4,-0.028741225600242615,-0.14371266961097717,5.74857234954834,0.271484375,0.359375,
79,80,10,4,-0.04750986397266388,-0.1547052264213562,5.359768390655518,0.279296875,0.337890625,0.31886450154706836
90,92,6,4,-0.19351625442504883,-0.3052942156791687,5.588898181915283,0.435546875,0.453125,
91,93,6,4,-0.14590956270694733,-0.2734023928642273,6.374641418457031,0.40234375,0.396484375,
92,94,6,4,-0.19400665163993835,-0.3104987144470215,5.824603080749512,0.498046875,0.486328125,
93,95,6,4,-0.16494402289390564,-0.26210886240005493,4.858242511749268,0.38671875,0.388671875,
94,96,6,4,-0.2316221296787262,-0.3437795042991638,5.6078691482543945,0.486328125,0.49609375,
95,97,6,4,-0.15446633100509644,-0.27256351709365845,5.90485954284668,0.404296875,0.42578125,
96,98,6,4,-0.2068711817264557,-0.3161441683769226,5.463649749755859,0.443359375,0.470703125,
97,99,6,4,-0.14137572050094604,-0.2590883672237396,5.885632038116455,0.361328125,0.3984375,
98,100,6,4,-0.26538097858428955,-0.3857634961605072,6.019125938415527,0.5625,0.6015625,
99,101,6,4,-0.204926997423172,-0.3116256594657898,5.334933280944824,0.46875,0.50390625,0.37801914708688855
100,102,6,4,-0.15135642886161804,-0.26164111495018005,5.51423454284668,0.384765625,0.396484375,
101,103,6,4,-0.19964151084423065,-0.2821277976036072,4.124314308166504,0.375,0.40234375,
102,104,6,4,-0.18275508284568787,-0.3020855784416199,5.966525077819824,0.46484375,0.4609375,
103,105,6,4,-0.2154007852077484,-0.32442787289619446,5.451354026794434,0.50390625,0.50390625,
104,106,6,4,-0.12676112353801727,-0.24746672809123993,6.035280227661133,0.38671875,0.3984375,
105,107,6,4,-0.21789312362670898,-0.32680630683898926,5.445659637451172,0.462890625,0.490234375,
106,108,7,4,-0.18622586131095886,-0.29991066455841064,5.684240341186523,0.423828125,0.451171875,
107,109,8,4,-0.14968878030776978,-0.23062661290168762,4.046892166137695,0.328125,0.357421875,
108,110,9,4,-0.14706668257713318,-0.2555690407752991,5.425118446350098,0.37109375,0.38671875,
109,111,10,4,-0.16072000563144684,-0.27268072962760925,5.598036289215088,0.39453125,0.41015625,
110,112,9,4,-0.1847262680530548,-0.28623831272125244,5.075602054595947,0.44921875,0.474609375,
111,113,9,4,-0.1783534735441208,-0.2930254638195038,5.733599662780762,0.451171875,0.466796875,
112,114,9,4,-0.2189776748418808,-0.3527642488479614,6.689328670501709,0.51953125,0.52734375,
113,115,9,4,-0.2290669083595276,-0.34138649702072144,5.615979194641113,0.546875,0.546875,
114,116,9,4,-0.11295953392982483,-0.24973297119140625,6.838671684265137,0.416015625,0.419921875,
115,117,9,4,-0.1668907105922699,-0.2663598656654358,4.973457336425781,0.41796875,0.419921875,
116,118,9,4,-0.1296970248222351,-0.24587947130203247,5.809122085571289,0.3984375,0.41796875,
117,119,9,4,-0.10892493277788162,-0.21030859649181366,5.069183349609375,0.326171875,0.33203125,
118,120,9,4,-0.1455809772014618,-0.24229629337787628,4.835765838623047,0.39453125,0.375,
119,121,9,4,-0.15595321357250214,-0.2850607633590698,6.455377578735352,0.50390625,0.50390625,0.40529619017615914
120,122,9,4,-0.09511145949363708,-0.20036733150482178,5.26279354095459,0.341796875,0.359375,
121,123,9,4,-0.13273580372333527,-0.24776004254817963,5.751212120056152,0.408203125,0.447265625,
122,124,10,4,-0.13759352266788483,-0.27739280462265015,6.989964485168457,0.5078125,0.53515625,
123,125,10,4,-0.13879822194576263,-0.28019753098487854,7.069965839385986,0.46875,0.5078125,
124,126,10,4,-0.20445950329303741,-0.33652740716934204,6.603394985198975,0.56640625,0.59375,
125,127,10,4,-0.23026835918426514,-0.34853798151016235,5.913480758666992,0.59765625,0.6171875,
126,128,10,4,-0.08809108287096024,-0.20414048433303833,5.8024702072143555,0.322265625,0.38671875,
127,129,10,4,-0.1455792784690857,-0.25763237476348877,5.602654457092285,0.412109375,0.435546875,
128,130,9,4,-0.10253345221281052,-0.22084863483905792,5.915759086608887,0.37109375,0.384765625,
129,131,10,4,-0.22245225310325623,-0.3403499722480774,5.894886016845703,0.59765625,0.578125,
130,132,9,4,-0.17174170911312103,-0.29733413457870483,6.279621124267578,0.515625,0.5078125,
131,133,9,4,-0.051197879016399384,-0.17046892642974854,5.963552474975586,0.318359375,0.3671875,
132,134,9,4,-0.16543398797512054,-0.27629125118255615,5.542863368988037,0.490234375,0.46484375,
133,135,10,4,-0.21866679191589355,-0.3503301739692688,6.583169460296631,0.58203125,0.5546875,
134,136,10,4,-0.15472838282585144,-0.28572878241539,6.550020217895508,0.51953125,0.5078125,
135,137,10,4,-0.07626008987426758,-0.20673604309558868,6.523797988891602,0.41796875,0.373046875,
136,138,10,4,-0.18531423807144165,-0.32433754205703735,6.951165199279785,0.578125,0.57421875,
137,139,10,4,-0.1977383941411972,-0.32804059982299805,6.515110492706299,0.56640625,0.58203125,
138,140,10,4,-0.21242515742778778,-0.3398050367832184,6.368993759155273,0.609375,0.625,
139,141,10,4,-0.1566644310951233,-0.26692038774490356,5.512798309326172,0.423828125,0.4296875,0.42180650122463703
140,142,10,4,-0.2013106495141983,-0.3370729386806488,6.788114547729492,0.62890625,0.65234375,
141,143,10,4,-0.28089040517807007,-0.40152108669281006,6.031534194946289,0.5625,0.57421875,
142,144,10,4,-0.1565762162208557,-0.25150129199028015,4.7462544441223145,0.392578125,0.3984375,
143,145,10,4,-0.1261444091796875,-0.2719469964504242,7.2901291847229,0.435546875,0.455078125,
144,146,10,4,-0.2130233645439148,-0.34223800897598267,6.460732460021973,0.578125,0.58203125,
145,147,10,4,-0.18715855479240417,-0.2986443042755127,5.574287414550781,0.498046875,0.494140625,
146,148,10,4,-0.15279725193977356,-0.28275057673454285,6.497666358947754,0.47265625,0.48046875,
147,149,10,4,-0.1724766194820404,-0.2754278779029846,5.1475629806518555,0.4296875,0.4375,
148,150,9,4,-0.18250033259391785,-0.31192779541015625,6.471373081207275,0.50390625,0.50390625,
149,151,10,4,-0.2315921187400818,-0.3432462513446808,5.582706451416016,0.494140625,0.5,
150,152,9,4,-0.14823487401008606,-0.27785223722457886,6.480868339538574,0.482421875,0.494140625,
151,153,9,4,-0.21223655343055725,-0.3379981219768524,6.288078308105469,0.53515625,0.53515625,
152,154,9,4,-0.13514350354671478,-0.26121270656585693,6.303460121154785,0.43359375,0.45703125,
153,155,9,4,-0.21964147686958313,-0.3688533306121826,7.460593223571777,0.59765625,0.6484375,
154,156,9,4,-0.10121419280767441,-0.21085238456726074,5.48190975189209,0.330078125,0.35546875,
155,157,9,4,-0.1891612559556961,-0.32155025005340576,6.619450092315674,0.498046875,0.5390625,
156,158,9,4,-0.10069796442985535,-0.22995468974113464,6.462836265563965,0.3828125,0.42578125,
157,159,9,4,-0.2270302176475525,-0.338151752948761,5.556077003479004,0.51953125,0.53515625,
158,160,9,4,-0.2681463062763214,-0.4079633951187134,6.990854740142822,0.578125,0.6015625,
159,161,9,4,-0.25419479608535767,-0.3979628086090088,7.188400745391846,0.59765625,0.59765625,0.45041649462655187
160,162,9,4,-0.17669713497161865,-0.2854595482349396,5.4381208419799805,0.4140625,0.4296875,
161,163,9,4,-0.23585161566734314,-0.3619968593120575,6.307262420654297,0.53125,0.54296875,
162,164,9,4,-0.19136327505111694,-0.3017646074295044,5.520066261291504,0.4921875,0.484375,
163,165,9,4,-0.1625240296125412,-0.29472804069519043,6.61020040512085,0.43359375,0.419921875,
164,166,9,4,-0.20619124174118042,-0.35466432571411133,7.423654556274414,0.56640625,0.5625,
165,167,9,4,-0.21060824394226074,-0.3228532075881958,5.612248420715332,0.5234375,0.5234375,
166,168,9,4,-0.25403302907943726,-0.38690948486328125,6.643823146820068,0.59375,0.609375,
167,169,9,4,-0.17415806651115417,-0.31254222989082336,6.919208526611328,0.486328125,0.48046875,
168,170,9,4,-0.2421710044145584,-0.38896772265434265,7.339836120605469,0.56640625,0.58203125,
169,171,10,4,-0.17237913608551025,-0.302363783121109,6.499232292175293,0.466796875,0.470703125,
170,172,10,4,-0.2232588231563568,-0.3485259413719177,6.2633562088012695,0.5078125,0.51953125,
171,173,10,4,-0.23200088739395142,-0.34987738728523254,5.893825054168701,0.52734375,0.5390625,
172,174,10,4,-0.27921193838119507,-0.40554744005203247,6.316775798797607,0.6171875,0.62109375,
173,175,10,4,-0.20363959670066833,-0.29739686846733093,4.687863826751709,0.427734375,0.439453125,
174,176,10,4,-0.32674074172973633,-0.45484980940818787,6.405454635620117,0.72265625,0.72265625,
175,177,10,4,-0.08200366795063019,-0.22421301901340485,7.110467910766602,0.384765625,0.439453125,
