step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,rollout/weight_sync_poisoned
0,1,1,4,0.3058638572692871,0.3058638572692871,-1.2699074430910784e-11,-0.4375,-0.4375,
1,2,2,4,1.9642229080200195,0.43904656171798706,3.0503525733947754,-0.60546875,-0.26171875,
2,3,3,4,1.3126083612442017,0.3733844459056854,1.8784477710723877,-0.4765625,-0.271484375,
3,4,4,4,1.2450374364852905,0.43780672550201416,1.6144614219665527,-0.51171875,-0.3671875,
4,5,5,4,1.3855652809143066,0.4438021183013916,1.8835264444351196,-0.42578125,-0.27734375,
5,6,6,4,0.9500890970230103,0.38387253880500793,1.1324330568313599,-0.427734375,-0.314453125,
6,7,6,4,0.8789672255516052,0.37353140115737915,1.0108716487884521,-0.259765625,-0.4140625,
7,8,6,4,1.0412254333496094,0.46708399057388306,1.148282766342163,-0.48828125,-0.62109375,
8,9,6,4,0.9052295684814453,0.42930808663368225,0.9518429040908813,-0.4140625,-0.48046875,
9,10,6,4,1.034632921218872,0.4950892925262451,1.0790871381759644,-0.5703125,-0.65625,
10,11,6,4,1.0849967002868652,0.4487406015396118,1.2725123167037964,-0.431640625,-0.51171875,
11,12,6,4,0.7802903652191162,0.37528085708618164,0.8100190162658691,-0.455078125,-0.4375,
12,13,6,4,0.7103761434555054,0.347198486328125,0.7263553142547607,-0.42578125,-0.4453125,
13,14,6,4,0.9570332765579224,0.4372989237308502,1.0394686460494995,-0.62109375,-0.56640625,
14,15,7,4,0.8940948843955994,0.424307644367218,0.9395744800567627,-0.609375,-0.55859375,
15,16,7,4,0.622176468372345,0.33855313062667847,0.567246675491333,-0.451171875,-0.404296875,
16,17,8,4,0.9185608625411987,0.41997769474983215,0.9971663951873779,-0.494140625,-0.427734375,
17,18,9,4,0.7934032678604126,0.39772289991378784,0.7913607954978943,-0.455078125,-0.4609375,
18,19,10,4,0.8947545289993286,0.5154261589050293,0.7586567997932434,-0.69921875,-0.62890625,
19,20,9,4,0.8720581531524658,0.4410746097564697,0.8619670271873474,-0.57421875,-0.6015625,
,,,,,,,,,1
