step,version,age,batch,loss,pg_loss,kl_loss,adv_mean,reward,rollout/weight_sync_poisoned
0,1,1,4,0.3058638572692871,0.3058638572692871,-1.2699074430910784e-11,-0.4375,-0.4375,
1,2,2,4,1.9693973064422607,0.43920275568962097,3.0603890419006348,-0.60546875,-0.26171875,
2,3,3,4,1.3991162776947021,0.37093526124954224,2.0563621520996094,-0.4765625,-0.28125,
3,4,4,4,1.2051582336425781,0.43504875898361206,1.5402190685272217,-0.51171875,-0.3515625,
4,5,5,4,1.3115501403808594,0.4417828917503357,1.739534616470337,-0.427734375,-0.265625,
5,6,6,4,1.1792359352111816,0.5458401441574097,1.2667914628982544,-0.7734375,-0.66015625,
6,7,6,4,0.8466261029243469,0.3460398316383362,1.0011725425720215,-0.26171875,-0.384765625,
7,8,6,4,0.8752041459083557,0.4065294563770294,0.9373493790626526,-0.37890625,-0.5390625,
8,9,6,4,0.756394624710083,0.36928892135620117,0.7742114663124084,-0.40625,-0.453125,
9,10,6,4,0.839226245880127,0.45462051033973694,0.76921147108078,-0.494140625,-0.52734375,
10,11,6,4,0.9266660213470459,0.4485076069831848,0.9563168287277222,-0.470703125,-0.51171875,
11,12,6,4,0.8088632225990295,0.39878225326538086,0.8201619386672974,-0.412109375,-0.57421875,
12,13,6,4,0.8788305521011353,0.508530855178833,0.7405994534492493,-0.50390625,-0.5859375,
13,14,7,4,0.7718561291694641,0.4186297059059143,0.7064528465270996,-0.51171875,-0.6015625,
14,15,7,4,0.8834726214408875,0.42131364345550537,0.9243179559707642,-0.55859375,-0.60546875,
15,16,7,4,1.058714747428894,0.4262174367904663,1.2649946212768555,-0.55078125,-0.5546875,
16,17,8,4,0.7816252112388611,0.4041869044303894,0.7548766136169434,-0.53515625,-0.4765625,
17,18,8,4,0.9435443878173828,0.5021781921386719,0.8827323913574219,-0.72265625,-0.61328125,
18,19,8,4,0.7940647602081299,0.40632787346839905,0.7754737734794617,-0.53125,-0.466796875,
19,20,9,4,0.7269538640975952,0.4001549482345581,0.6535978317260742,-0.60546875,-0.55078125,
,,,,,,,,,1
